month,month_label,feature,category,hour,mean_spatial_mean,std_spatial_mean,count
APRIL_16,April 2016,cpm25,meteorology_or_target,0,24.50439847310384,2.949409468123786,30
APRIL_16,April 2016,cpm25,meteorology_or_target,1,24.432093365987143,2.8706323901873136,30
APRIL_16,April 2016,cpm25,meteorology_or_target,2,23.700222333272297,2.7421919510179493,30
APRIL_16,April 2016,cpm25,meteorology_or_target,3,21.969658533732098,2.482497622500275,30
APRIL_16,April 2016,cpm25,meteorology_or_target,4,20.714795557657876,2.302288805334745,30
APRIL_16,April 2016,cpm25,meteorology_or_target,5,19.982580375671386,2.2091916160798504,30
APRIL_16,April 2016,cpm25,meteorology_or_target,6,19.674853134155274,2.204391524703958,30
APRIL_16,April 2016,cpm25,meteorology_or_target,7,19.649309794108074,2.257614717799464,30
APRIL_16,April 2016,cpm25,meteorology_or_target,8,19.739967918395998,2.3446851406961047,30
APRIL_16,April 2016,cpm25,meteorology_or_target,9,19.81845734914144,2.4407985899799858,30
APRIL_16,April 2016,cpm25,meteorology_or_target,10,19.95630709330241,2.650763177265846,30
APRIL_16,April 2016,cpm25,meteorology_or_target,11,20.432323201497397,3.1639994505091553,30
APRIL_16,April 2016,cpm25,meteorology_or_target,12,21.426035944620768,3.8206412646906798,30
APRIL_16,April 2016,cpm25,meteorology_or_target,13,22.682234954833984,4.2161392929582355,30
APRIL_16,April 2016,cpm25,meteorology_or_target,14,23.413280614217122,4.185671464016019,30
APRIL_16,April 2016,cpm25,meteorology_or_target,15,23.623428853352866,3.9578562316994934,30
APRIL_16,April 2016,cpm25,meteorology_or_target,16,23.711909039815268,3.744175650042526,30
APRIL_16,April 2016,cpm25,meteorology_or_target,17,23.7842591603597,3.569305298697217,30
APRIL_16,April 2016,cpm25,meteorology_or_target,18,23.84443817138672,3.4116696096460988,30
APRIL_16,April 2016,cpm25,meteorology_or_target,19,23.984109812769397,3.3163084820902538,29
APRIL_16,April 2016,cpm25,meteorology_or_target,20,24.08389611079775,3.1934966623400336,29
APRIL_16,April 2016,cpm25,meteorology_or_target,21,24.193442246009564,3.099010006203833,29
APRIL_16,April 2016,cpm25,meteorology_or_target,22,24.318706643992456,3.030325237039157,29
APRIL_16,April 2016,cpm25,meteorology_or_target,23,24.469870534436456,2.9763311114890856,29
APRIL_16,April 2016,q2,meteorology_or_target,0,0.010486497823148967,0.0003249302051967856,30
APRIL_16,April 2016,q2,meteorology_or_target,1,0.010601942644764979,0.00032237815629237564,30
APRIL_16,April 2016,q2,meteorology_or_target,2,0.010673618378738562,0.00032806145164149134,30
APRIL_16,April 2016,q2,meteorology_or_target,3,0.01063203380132715,0.00034098609665187286,30
APRIL_16,April 2016,q2,meteorology_or_target,4,0.010486550318698088,0.0003603918398596901,30
APRIL_16,April 2016,q2,meteorology_or_target,5,0.010325130727142095,0.00037249726147396445,30
APRIL_16,April 2016,q2,meteorology_or_target,6,0.010167964361608028,0.00037363895469538604,30
APRIL_16,April 2016,q2,meteorology_or_target,7,0.010050132622321446,0.00036610028229924074,30
APRIL_16,April 2016,q2,meteorology_or_target,8,0.009980314783751965,0.0003510954831898424,30
APRIL_16,April 2016,q2,meteorology_or_target,9,0.009956299668798844,0.0003389110825532842,30
APRIL_16,April 2016,q2,meteorology_or_target,10,0.009981910201410453,0.00032873921466582986,30
APRIL_16,April 2016,q2,meteorology_or_target,11,0.010095081695665916,0.0003137318197469623,30
APRIL_16,April 2016,q2,meteorology_or_target,12,0.010200919428219398,0.0003217957117737398,30
APRIL_16,April 2016,q2,meteorology_or_target,13,0.010279566111663977,0.00031446292498894427,30
APRIL_16,April 2016,q2,meteorology_or_target,14,0.010314476831505695,0.00032623889359713174,30
APRIL_16,April 2016,q2,meteorology_or_target,15,0.010392787835250298,0.00032789016706256214,30
APRIL_16,April 2016,q2,meteorology_or_target,16,0.01045488016679883,0.000327079149145835,30
APRIL_16,April 2016,q2,meteorology_or_target,17,0.010500522206226985,0.000325505283387061,30
APRIL_16,April 2016,q2,meteorology_or_target,18,0.010530928677568833,0.0003234840066705983,30
APRIL_16,April 2016,q2,meteorology_or_target,19,0.010544744994619796,0.00032689503991359517,29
APRIL_16,April 2016,q2,meteorology_or_target,20,0.010541180694668457,0.0003248151883354949,29
APRIL_16,April 2016,q2,meteorology_or_target,21,0.01052474818224537,0.0003243336290535118,29
APRIL_16,April 2016,q2,meteorology_or_target,22,0.010499167095484405,0.00032573440566188526,29
APRIL_16,April 2016,q2,meteorology_or_target,23,0.010468918990729183,0.00032812690149003413,29
APRIL_16,April 2016,t2,meteorology_or_target,0,288.8741790771484,0.5405083011344384,30
APRIL_16,April 2016,t2,meteorology_or_target,1,289.75892740885416,0.5638566930832493,30
APRIL_16,April 2016,t2,meteorology_or_target,2,291.4049540201823,0.5362579645333209,30
APRIL_16,April 2016,t2,meteorology_or_target,3,293.03246053059894,0.5261344936351954,30
APRIL_16,April 2016,t2,meteorology_or_target,4,294.3227834065755,0.519512804827513,30
APRIL_16,April 2016,t2,meteorology_or_target,5,295.33887939453126,0.5379755288569595,30
APRIL_16,April 2016,t2,meteorology_or_target,6,296.1758280436198,0.560298981760424,30
APRIL_16,April 2016,t2,meteorology_or_target,7,296.7957326253255,0.5734499858344094,30
APRIL_16,April 2016,t2,meteorology_or_target,8,297.2034556070964,0.5866114355117089,30
APRIL_16,April 2016,t2,meteorology_or_target,9,297.3884541829427,0.6020328827282581,30
APRIL_16,April 2016,t2,meteorology_or_target,10,297.3501302083333,0.6134607437576193,30
APRIL_16,April 2016,t2,meteorology_or_target,11,297.0005635579427,0.6460354030493703,30
APRIL_16,April 2016,t2,meteorology_or_target,12,296.0165069580078,0.6673693108502342,30
APRIL_16,April 2016,t2,meteorology_or_target,13,294.3463846842448,0.5728377098707488,30
APRIL_16,April 2016,t2,meteorology_or_target,14,293.2597351074219,0.514296417801115,30
APRIL_16,April 2016,t2,meteorology_or_target,15,292.5698547363281,0.49787077832367566,30
APRIL_16,April 2016,t2,meteorology_or_target,16,291.96300150553384,0.4960785429470632,30
APRIL_16,April 2016,t2,meteorology_or_target,17,291.4140563964844,0.5017981998542521,30
APRIL_16,April 2016,t2,meteorology_or_target,18,290.9201690673828,0.5092415506805911,30
APRIL_16,April 2016,t2,meteorology_or_target,19,290.4509866648707,0.5143766064039683,29
APRIL_16,April 2016,t2,meteorology_or_target,20,290.0248223666487,0.5231230751725016,29
APRIL_16,April 2016,t2,meteorology_or_target,21,289.6168202367322,0.5317927353749841,29
APRIL_16,April 2016,t2,meteorology_or_target,22,289.2393672548491,0.5385093191028063,29
APRIL_16,April 2016,t2,meteorology_or_target,23,288.90180495689657,0.5451755325966613,29
APRIL_16,April 2016,u10,meteorology_or_target,0,1.456118110815684,0.43227236201766855,30
APRIL_16,April 2016,u10,meteorology_or_target,1,1.5597098191579184,0.459960624595057,30
APRIL_16,April 2016,u10,meteorology_or_target,2,1.8339065710703533,0.49743245125790675,30
APRIL_16,April 2016,u10,meteorology_or_target,3,2.162853459517161,0.549224674345173,30
APRIL_16,April 2016,u10,meteorology_or_target,4,2.355617292722066,0.5782032323101888,30
APRIL_16,April 2016,u10,meteorology_or_target,5,2.5265190839767455,0.6080656356473016,30
APRIL_16,April 2016,u10,meteorology_or_target,6,2.7373510003089905,0.6443339156607869,30
APRIL_16,April 2016,u10,meteorology_or_target,7,2.9457470496495564,0.6767051497275058,30
APRIL_16,April 2016,u10,meteorology_or_target,8,3.1123833894729613,0.6963981959669285,30
APRIL_16,April 2016,u10,meteorology_or_target,9,3.218270707130432,0.7017346598140455,30
APRIL_16,April 2016,u10,meteorology_or_target,10,3.233197649319967,0.6907083149274822,30
APRIL_16,April 2016,u10,meteorology_or_target,11,3.0902729590733844,0.6630645780196696,30
APRIL_16,April 2016,u10,meteorology_or_target,12,2.6547016302744546,0.6149309845120501,30
APRIL_16,April 2016,u10,meteorology_or_target,13,2.0941972732543945,0.5049561843774705,30
APRIL_16,April 2016,u10,meteorology_or_target,14,1.850857921441396,0.46411314980437607,30
APRIL_16,April 2016,u10,meteorology_or_target,15,1.7373616218566894,0.4445303619927812,30
APRIL_16,April 2016,u10,meteorology_or_target,16,1.6745310684045156,0.429063509175575,30
APRIL_16,April 2016,u10,meteorology_or_target,17,1.6412983258565268,0.4160120296572429,30
APRIL_16,April 2016,u10,meteorology_or_target,18,1.6226934691270192,0.40675091352684895,30
APRIL_16,April 2016,u10,meteorology_or_target,19,1.6147176397257839,0.4082215335440929,29
APRIL_16,April 2016,u10,meteorology_or_target,20,1.5987872255259548,0.4079598074091924,29
APRIL_16,April 2016,u10,meteorology_or_target,21,1.5763122871004303,0.4092730812271449,29
